in-plane magnitude,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-3.06035824168824e-07,2.945472185569086e-07,-3.683101748945895e-05,-4.291839668371219e-06,-3.058321538533828e-07,2.950404666922481e-07,3.6607032382610447e-10,5.027980228851835e-10,26,24,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,-1.0791687161134715e-08,6.219431917815312e-10,6.008726205456309e-07,6.219431917815312e-10,-0.017960024790836984,0.0010352335423463633
-0.045,-3.127300973696853e-07,3.026435316746738e-07,-3.037914049685357e-05,9.296227107911708e-07,-3.12284014538351e-07,3.023403893519516e-07,5.575622040132034e-10,3.892619566408939e-10,27,23,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,-9.94362518639941e-09,6.800003545822298e-10,6.146244038903026e-07,6.800003545822298e-10,-0.016178376783382874,0.0011065121008199212
-0.04,-3.224352383124889e-07,3.125190084062217e-07,-2.108738237418081e-05,7.556224652942292e-06,-3.202255817293298e-07,3.114205870828281e-07,1.527769413853249e-09,1.04719369397673e-09,27,21,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,-8.804994646501692e-09,1.8522132746015318e-09,6.316461688121578e-07,1.8522132746015318e-09,-0.013939757860100575,0.002932643805102874
-0.035,-3.270008578731945e-07,3.1725389466996844e-07,-2.8169531271718957e-05,-3.0829630666707616e-06,-3.2631416650944345e-07,3.172013811508038e-07,4.686925401348205e-10,1.899155738251996e-10,27,23,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,-9.112785358639677e-09,5.05708040631534e-10,6.435155476602472e-07,5.05708040631534e-10,-0.014160940464877309,0.0007859308843592693
-0.03,-3.36030504016994e-07,3.273991388662869e-07,-8.420738678449758e-06,5.229641072521687e-06,-3.358441268945352e-07,3.2748030238265026e-07,9.811870060982802e-10,1.3639290688748802e-09,23,21,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,-8.363824511884938e-09,1.6801876222190198e-09,6.633244292771855e-07,1.6801876222190198e-09,-0.012608949923642749,0.002533181510555409
-0.025,-3.396220541425258e-07,3.3200020084645706e-07,-2.4108788187475187e-05,-8.731366796648124e-06,-3.397299025814829e-07,3.3190939549125734e-07,2.3873698597744387e-10,2.8252236964041516e-10,27,23,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,-7.820507090225539e-09,3.69884087006767e-10,6.716392980727402e-07,3.69884087006767e-10,-0.011643909331491438,0.0005507556835583118
-0.02,-3.413088810558643e-07,3.350815310743927e-07,-2.078741195457228e-05,-4.550437502921545e-06,-3.415228773095136e-07,3.349482543224389e-07,4.3740145271009526e-10,3.126805463876007e-10,27,23,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,-6.574622987074674e-09,5.376701171928288e-10,6.764711316319524e-07,5.376701171928288e-10,-0.009719000086838486,0.000794853594382946
-0.015,-3.4305052161887253e-07,3.375262748045045e-07,-1.4578923526503955e-05,9.179583120626306e-07,-3.43450354229274e-07,3.379344554575724e-07,6.454059616091761e-10,4.0816536302499935e-10,24,23,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,-5.515898771701604e-09,7.636411584337206e-10,6.813848096868464e-07,7.636411584337206e-10,-0.008095130230796638,0.0011207560959718473
-0.01,-3.445532895404941e-07,3.402433568652336e-07,-3.1047441659879245e-05,-1.4030016496945988e-05,-3.444942676785328e-07,3.403960027030405e-07,4.297965316088735e-10,3.1500460995835886e-10,27,25,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,-4.098264975492316e-09,5.328723701582163e-10,6.848902703815733e-07,5.328723701582163e-10,-0.00598382712198415,0.0007780544317556273
-0.005,-3.4402456035996386e-07,3.408889391867366e-07,-2.1692076669582875e-05,-4.884183899069423e-06,-3.437907322148192e-07,3.4074831805074544e-07,4.6007520615500074e-10,3.3730384599746306e-10,27,23,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,-3.0424141640737507e-09,5.704761869204066e-10,6.845390502655647e-07,5.704761869204066e-10,-0.004444471302102424,0.0008333809752300802
