VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate 21 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-4.841770211378229e-07,4.668531851278277e-07,0.0001172234835034,0.0001389773370275,-4.842594829048036e-07,4.669425497565979e-07,1.5819041444762976e-10,1.8076927797402391e-10,20,15,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,-1.7316933148205716e-08,2.4021186290931344e-10,9.512020326614015e-07,2.4021186290931344e-10,-0.018205315541383004,0.0002525769063699398
-0.045,-4.895367578306807e-07,4.735618228931578e-07,0.000105172771873,0.0001301029915278,-4.89493900338863e-07,4.732999147440885e-07,3.4151513461019405e-10,2.219585060049437e-10,23,17,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,-1.6193985594774457e-08,4.0730598517056636e-10,9.627938150829514e-07,4.0730598517056636e-10,-0.016819785649930905,0.0004231057462179551
-0.04,-4.940927785482762e-07,4.7904461713428e-07,9.351555733987972e-05,0.0001205536618089,-4.938958355300936e-07,4.790746602748929e-07,2.2119051403451474e-10,2.0878693228600144e-10,23,19,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,-1.4821175255200754e-08,3.0416644553969495e-10,9.729704958049865e-07,3.0416644553969495e-10,-0.01523291335051066,0.0003126525772838603
-0.035,-4.979030637567744e-07,4.844753579113389e-07,8.58069087811576e-05,0.0001132978591646,-4.977615790132588e-07,4.845451473519838e-07,1.6316104890581027e-10,2.4792424841428145e-10,21,21,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,-1.3216431661275054e-08,2.967961604061457e-10,9.823067263652427e-07,2.967961604061457e-10,-0.01345448555582923,0.0003021693883553632
-0.03,-5.012561104717304e-07,4.891462405573443e-07,8.162323502761116e-05,0.0001089721083467,-5.013043648078806e-07,4.891554368390997e-07,2.019683781930396e-10,1.8911925022704038e-10,21,21,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,-1.2148927968780895e-08,2.7668992861389914e-10,9.904598016469801e-07,2.7668992861389914e-10,-0.012265947541312756,0.00027937604519712877
-0.025,-5.040490223710928e-07,4.932275507367172e-07,7.628221983937655e-05,0.0001053690760333,-5.039184416535445e-07,4.932221714071971e-07,1.7653771832935435e-10,1.6957567357664156e-10,19,21,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,-1.0696270246347441e-08,2.4478863344098753e-10,9.971406130607416e-07,2.4478863344098753e-10,-0.010726942726277132,0.00024550470957956043
-0.02,-5.061361974496799e-07,4.967093453136015e-07,7.021468698086671e-05,9.970569961085552e-05,-5.060020216847992e-07,4.967990654348867e-07,1.1771006470149616e-10,2.449664262929262e-10,14,14,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,-9.202956249912497e-09,2.7177970737852755e-10,1.002801087119686e-06,2.7177970737852755e-10,-0.009177249973218378,0.0002710319678872758
-0.015,-5.120187207301146e-07,5.042253997084882e-07,7.060869767114824e-05,0.0001005403022275,-5.119675592631565e-07,5.041885167553038e-07,1.5508430999721218e-10,1.724009967646061e-10,15,9,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,-7.779042507852738e-09,2.3189059250590813e-10,1.0161560760184603e-06,2.3189059250590813e-10,-0.007655361899062658,0.0002282104027156247
-0.01,-5.154419614653959e-07,5.088490722974288e-07,6.685695636909629e-05,9.967358804086576e-05,-5.153815193627967e-07,5.089721900626376e-07,1.7030303645581058e-10,1.3131795611623886e-10,19,23,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,-6.409329300159059e-09,2.150523885582664e-10,1.0243537094254341e-06,2.150523885582664e-10,-0.0062569493732336735,0.00020994369047127828
-0.005,-5.139844269604211e-07,5.090724207368597e-07,6.336322571763754e-05,9.257906350672174e-05,-5.14048586801903e-07,5.091546044364202e-07,8.780101390330219e-11,1.4833034051804149e-10,16,16,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,-4.893982365482784e-09,1.7236852369457136e-10,1.0232031912383231e-06,1.7236852369457136e-10,-0.0047830014677337765,0.0001684616475061262
0.0,-5.136848000813444e-07,5.104090291387578e-07,6.227443241061757e-05,9.508778902665858e-05,-5.136200675933233e-07,5.102767197526234e-07,1.3395297589714014e-10,1.755945938584045e-10,17,23,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,-3.3433478406998344e-09,2.208548417943284e-10,1.0238967873459468e-06,2.208548417943284e-10,-0.003265317248788484,0.00021570144757813173
0.005,-5.125654232714028e-07,5.108331704527583e-07,5.586237341870517e-05,8.993234500437818e-05,-5.127283737024642e-07,5.108435234231855e-07,1.4860646988550736e-10,1.4390460155678988e-10,17,23,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,-1.8848502792787586e-09,2.0686328151958399e-10,1.0235718971256496e-06,2.0686328151958399e-10,-0.0018414439518823387,0.0002020997575531137
0.01,-5.159989745755674e-07,5.160186096952513e-07,6.014235122294114e-05,9.159893293051844e-05,-5.161128896004662e-07,5.158792987733722e-07,7.54907486078896e-11,1.625122255282816e-10,9,13,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,-2.335908270939991e-10,1.791900571224158e-10,1.0319921883738385e-06,1.791900571224158e-10,-0.00022634941400291006,0.00017363509504378255
0.015,-5.131474467764009e-07,5.145594720964725e-07,5.076639332520086e-05,8.532282675767967e-05,-5.132239545035854e-07,5.144887513780645e-07,1.8655459311788068e-10,2.0705808792092e-10,15,21,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,1.2647968744791238e-09,2.7870354857239516e-10,1.02771270588165e-06,2.7870354857239516e-10,0.0012306910941556229,0.0002711883953945073
0.02,-5.104366983497784e-07,5.132270553404691e-07,5.175949215100471e-05,8.682632059066342e-05,-5.105152871886331e-07,5.133233697748481e-07,7.635980877356913e-11,1.4496788090882547e-10,15,23,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,2.808082586215079e-09,1.638490368941223e-10,1.0238386569634812e-06,1.638490368941223e-10,0.0027427002947352465,0.00016003464222410891
0.025,-5.072824685146599e-07,5.119967386343633e-07,5.265027973790242e-05,8.800839886007232e-05,-5.073691612520219e-07,5.116763244643266e-07,7.252543052483587e-11,2.0847161036887692e-10,17,23,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,4.307163212304728e-09,2.2072686832962956e-10,1.0190454857163485e-06,2.2072686832962956e-10,0.0042266643370457236,0.0002166035206704789
0.03,-5.035835425480831e-07,5.091697692781216e-07,5.272550304514962e-05,8.884830536842536e-05,-5.035816563805599e-07,5.092282520818855e-07,9.279962822650206e-11,1.4359830222945395e-10,17,23,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,5.64659570132553e-09,1.709743939955881e-10,1.0128099084624455e-06,1.709743939955881e-10,0.005575178179188304,0.00016881455217974142
