VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate 21 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-3.4644093380959244e-06,3.439814290862512e-06,0.0001149204842046,0.0001125716793932,-3.4632023206635754e-06,3.439659439277968e-06,1.8239251531321666e-09,1.4850171266376096e-09,35,37,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-2.3542881385607388e-08,2.352015907819337e-09,6.9028617599415435e-06,2.352015907819337e-09,-0.003410597257246357,0.00034073253515773866
-0.045,-3.5061572357041702e-06,3.495879789693447e-06,0.0001054493215501,0.0001025867582213,-3.507324605182953e-06,3.4965924116734427e-06,1.6004176168708612e-09,1.2425027914335946e-09,39,41,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-1.0732193509510175e-08,2.026116910523892e-09,7.003917016856395e-06,2.026116910523892e-09,-0.0015323130590612225,0.0002892837371274618
-0.04,-3.546121122590256e-06,3.54398837796801e-06,9.692216974389146e-05,9.303988291475342e-05,-3.546663594356473e-06,3.543639091636779e-06,1.3898988887387751e-09,1.1929940724544576e-09,41,43,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-3.024502719694205e-09,1.8316805883747183e-09,7.090302685993252e-06,1.8316805883747183e-09,-0.0004265689144229411,0.0002583360451790598
-0.035,-3.580464935512855e-06,3.5807057761312025e-06,9.014511148545784e-05,8.6167280124512e-05,-3.580876030932404e-06,3.580864590885659e-06,1.7997448260819683e-09,1.1996459802887482e-09,45,45,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-1.1440046745201174e-11,2.162922078354134e-09,7.161740621818063e-06,2.162922078354134e-09,-1.5973835620839658e-06,0.00030201066927327777
-0.03,-3.6117031026050074e-06,3.612222114963002e-06,8.449331621184344e-05,8.043555403828785e-05,-3.61231326351174e-06,3.612210522853128e-06,1.8057522219671774e-09,1.263777531260908e-09,47,45,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-1.0274065861215641e-10,2.2040586960558274e-09,7.224523786364868e-06,2.2040586960558274e-09,-1.4221097701423998e-05,0.000305080135584647
-0.025,-3.6387615066589934e-06,3.6379836135811903e-06,8.156394430610402e-05,7.794230096734941e-05,-3.639690099160241e-06,3.636991807058299e-06,1.9823792001465562e-09,1.277887295744014e-09,45,43,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-2.6982921019422573e-09,2.358563807446737e-09,7.27668190621854e-06,2.358563807446737e-09,-0.0003708135296715854,0.0003241262982219346
-0.02,-3.6615253462195495e-06,3.656159213222013e-06,8.63504531764586e-05,8.282019796531445e-05,-3.661679118312152e-06,3.656397127474404e-06,1.6159145312600791e-09,1.4489808784681826e-09,45,45,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-5.281990837747637e-09,2.170420548765586e-09,7.318076245786556e-06,2.170420548765586e-09,-0.0007217731354997549,0.00029658356120058915
-0.015,-3.677919782775404e-06,3.670161866527397e-06,8.114206981417685e-05,7.783353551706117e-05,-3.678638905469172e-06,3.6702181527992017e-06,2.269822511835617e-09,1.441251537840833e-09,45,45,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-8.42075266997055e-09,2.6887358052743516e-09,7.348857058268374e-06,2.6887358052743516e-09,-0.0011458588190249477,0.00036587152928678794
-0.01,-3.692916589148029e-06,3.680439734893851e-06,7.804279931563688e-05,7.507146914778593e-05,-3.6930861034116575e-06,3.6807421597756263e-06,1.5379570067297754e-09,1.0898990211493454e-09,45,43,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-1.2343943636031243e-08,1.884991148746198e-09,7.373828263187284e-06,1.884991148746198e-09,-0.0016740210370312669,0.0002556329931568928
-0.005,-3.705427762053121e-06,3.691321370877219e-06,7.203243147102588e-05,7.043063377357285e-05,-3.706136175799196e-06,3.691780131228688e-06,1.6574859050156539e-09,1.1484595221044872e-09,43,41,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-1.4356044570508057e-08,2.016486746606094e-09,7.397916307027884e-06,2.016486746606094e-09,-0.0019405524440537505,0.0002725754739173124
